cfr_title,cfr_part,part_heading,term
2,1134,"Financial, programmatic, and property reporting: general award terms and conditions",Reporting and recordkeeping requirements
2,1134,"Financial, programmatic, and property reporting: general award terms and conditions",Small businesses
2,1134,"Financial, programmatic, and property reporting: general award terms and conditions",State and local governments
2,1136,Other administrative requirements: general award terms and conditions,Grant programs
2,1136,Other administrative requirements: general award terms and conditions,Grants administration
2,1136,Other administrative requirements: general award terms and conditions,Hospitals
2,1136,Other administrative requirements: general award terms and conditions,Indians
2,1136,Other administrative requirements: general award terms and conditions,Nonprofit organizations
2,1136,Other administrative requirements: general award terms and conditions,Reporting and recordkeeping requirements
2,1136,Other administrative requirements: general award terms and conditions,Small businesses
2,1136,Other administrative requirements: general award terms and conditions,State and local governments
2,1138,Requirements related to subawards: general award terms and conditions,Accounting
2,1138,Requirements related to subawards: general award terms and conditions,Business and industry
2,1138,Requirements related to subawards: general award terms and conditions,Grant programs
2,1138,Requirements related to subawards: general award terms and conditions,Grants administration
2,1138,Requirements related to subawards: general award terms and conditions,Hospitals
2,1138,Requirements related to subawards: general award terms and conditions,Indians
2,1138,Requirements related to subawards: general award terms and conditions,Nonprofit organizations
2,1138,Requirements related to subawards: general award terms and conditions,Reporting and recordkeeping requirements
2,1138,Requirements related to subawards: general award terms and conditions,Small businesses
2,1138,Requirements related to subawards: general award terms and conditions,State and local governments
2,1200,Nonprocurement suspension and debarment,Administrative practice and procedure
2,1200,Nonprocurement suspension and debarment,Grant programs
2,1200,Nonprocurement suspension and debarment,Reporting and recordkeeping requirements
2,1201,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Accounting
2,1201,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Administrative practice and procedure
2,1201,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Government contracts
2,1201,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grants administration
2,1201,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Loan programs
2,1201,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Scholarships and fellowships
2,1326,Nonprocurement debarment and suspension,Administrative practice and procedure
2,1326,Nonprocurement debarment and suspension,Grant programs
2,1326,Nonprocurement debarment and suspension,Reporting and recordkeeping requirements
2,1327,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Accounting
2,1327,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Administrative practice and procedure
2,1327,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Government contracts
2,1327,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grants administration
2,1329,Requirements for drug-free workplace (financial assistance),Administrative practice and procedure
2,1329,Requirements for drug-free workplace (financial assistance),Drug abuse
2,1329,Requirements for drug-free workplace (financial assistance),Grant programs
2,1329,Requirements for drug-free workplace (financial assistance),Reporting and recordkeeping requirements
2,1400,Nonprocurement debarment and suspension,Administrative practice and procedure
2,1400,Nonprocurement debarment and suspension,Grant programs
2,1400,Nonprocurement debarment and suspension,Reporting and recordkeeping requirements
2,1401,Requirements for drug-free workplace (financial assistance),Administrative practice and procedure
2,1401,Requirements for drug-free workplace (financial assistance),Drug abuse
2,1401,Requirements for drug-free workplace (financial assistance),Grant programs
2,1401,Requirements for drug-free workplace (financial assistance),Reporting and recordkeeping requirements
2,1402,"Financial assistance Interior regulation, supplementing the Uniform Administrative Requirements, cost principles, and audit requirements for Federal awards",Accounting
2,1402,"Financial assistance Interior regulation, supplementing the Uniform Administrative Requirements, cost principles, and audit requirements for Federal awards",Administrative practice and procedure
2,1402,"Financial assistance Interior regulation, supplementing the Uniform Administrative Requirements, cost principles, and audit requirements for Federal awards",Government contracts
2,1402,"Financial assistance Interior regulation, supplementing the Uniform Administrative Requirements, cost principles, and audit requirements for Federal awards",Grants administration
2,1402,"Financial assistance Interior regulation, supplementing the Uniform Administrative Requirements, cost principles, and audit requirements for Federal awards",Loan programs
2,1402,"Financial assistance Interior regulation, supplementing the Uniform Administrative Requirements, cost principles, and audit requirements for Federal awards",Scholarships and fellowships
2,1500,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Accounting
2,1500,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Administrative practice and procedure
2,1500,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grant programs
2,1500,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grant programs--environmental protection
2,1500,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grants administration
2,1500,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Loan programs
2,1500,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Reporting and recordkeeping requirements
2,1500,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Waste treatment and disposal
2,1500,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Water pollution control
2,1500,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Water resources
2,1500,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Water supply
2,1500,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Watersheds
2,1532,Nonprocurement debarment and suspension,Administrative practice and procedure
2,1532,Nonprocurement debarment and suspension,Grant programs
2,1532,Nonprocurement debarment and suspension,Reporting and recordkeeping requirements
2,1536,Requirements for drug-free workplace (financial assistance),Administrative practice and procedure
2,1536,Requirements for drug-free workplace (financial assistance),Drug abuse
2,1536,Requirements for drug-free workplace (financial assistance),Grant programs
2,1536,Requirements for drug-free workplace (financial assistance),Reporting and recordkeeping requirements
2,1600,Nonprocurement debarment and suspension,Administrative practice and procedure
2,1600,Nonprocurement debarment and suspension,Reporting and recordkeeping requirements
2,1800,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Fees
2,1800,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Government property
2,1800,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Government publications
2,1800,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grant programs
2,1800,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grants administration
2,1880,Nonprocurement debarment and suspension,Administrative practice and procedure
2,1880,Nonprocurement debarment and suspension,Grant programs
2,1880,Nonprocurement debarment and suspension,Reporting and recordkeeping requirements
2,1882,Requirements for drug-free workplace (financial assistance),Administrative practice and procedure
2,1882,Requirements for drug-free workplace (financial assistance),Drug abuse
2,1882,Requirements for drug-free workplace (financial assistance),Grant programs
2,1882,Requirements for drug-free workplace (financial assistance),Reporting and recordkeeping requirements
2,1900,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Accounting
2,1900,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Administrative practice and procedure
2,1900,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grant programs
2,1900,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grants administration
2,1900,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Loan programs
2,1900,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Nonprofit organizations
2,1900,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Reporting and recordkeeping requirements
2,2000,Nonprocurement debarment and suspension,Administrative practice and procedure
2,2000,Nonprocurement debarment and suspension,Grant programs
2,2000,Nonprocurement debarment and suspension,Reporting and recordkeeping requirements
2,2200,Nonprocurement debarment and suspension,Administrative practice and procedure
2,2200,Nonprocurement debarment and suspension,Grant programs
2,2200,Nonprocurement debarment and suspension,Reporting and recordkeeping requirements
2,2205,Implementation of and exemptions to 2 CFR,Accounting
