authority_text,nrows,removed,added
Sec 1905(a)(11) of the Social Security Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Title V, Violent Crime Control and Law Enforcement Act of 1994",1,"('act_relative', None, None, None)","('other', None, None, None)"
SDWA Sec 1449,1,"('act_relative', None, None, None)","('other', None, None, None)"
Section 1886(d)(5)(F) of the Social Security Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
47111,1,"('usc', 49, '47111', None)","('other', None, None, None)"
47306,1,"('usc', 49, '47306', None)","('other', None, None, None)"
sec 214 of The Homeland Security Act of 2002,1,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1923(a)(2)(D) of the Social Security Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 504 of the Rehabilitation Act of 19,1,"('act_relative', None, None, None)","('other', None, None, None)"
ALS Disability Insurance Access Act of 2019,1,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 2001(b)(1) of the American Rescue Plan Act of 2021 (117 Pub. L. 2),1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1936 Deficit Reduction Act sec 6034",1,"('act_relative', None, None, None)","('other', None, None, None)"
4513b,1,"('usc', 12, '4513b', None)","('other', None, None, None)"
"sec 1917(b)(1)(C) (iii)(VI), Social Security Act",1,"('act_relative', None, None, None)","('other', None, None, None)"
47101,1,"('usc', 49, '47101', None)","('other', None, None, None)"
"Social Security Act secs 1881, 1861, 1102, 1871",1,"('act_relative', None, None, None)","('other', None, None, None)"
"""Energy Policy Conservation Act (EPCA)""",1,"('act_relative', None, None, None)","('other', None, None, None)"
Leahy-Smith American Invents Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
sec 4g of the CEA,1,"('act_relative', None, None, None)","('other', None, None, None)"
Section 1503 of MAP-21,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA Sec 129,1,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 32911 of MAP-21,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Bipartisan Budget Act of 2015, section 812",1,"('act_relative', None, None, None)","('other', None, None, None)"
Bipartisan Budget Act of 2015 sec 843,1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 211(f),1,"('act_relative', None, None, None)","('other', None, None, None)"
Toxic Substances Control Act sec 6(e)(3)(B),1,"('act_relative', None, None, None)","('other', None, None, None)"
Toxic Substances Control Act sec 7,1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 207,1,"('act_relative', None, None, None)","('other', None, None, None)"
301 CAA as amended,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 162,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 168,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 213(a),1,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 501 (a),1,"('act_relative', None, None, None)","('other', None, None, None)"
RCRA 3001,1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1832 of the Social Security Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 202 et seq,1,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 402(p)(11),1,"('act_relative', None, None, None)","('other', None, None, None)"
"Title XIX of the Social Security Act, secs 1923(f) and (h)",1,"('act_relative', None, None, None)","('other', None, None, None)"
Section 8 of the MINER Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
104-134,1,"('public_law', None, None, None)","('other', None, None, None)"
"46 App USC 1101, 1114(b), 1122(d), 1241",1,"","('usc', 46, '1114', None) | ('usc', 46, '1122', None) | ('usc', 46, '1241', None)"
sec. 481 of the Energy Independence and Security Act of 2007,1,"('act_relative', None, None, None)","('other', None, None, None)"
"5.51, 5.58, 5.61 of the Farm Act",1,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1902 of the Social Security Act (the Act),1,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1101 of the Social Security Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
Section 112(c)(6) of the CAA,1,"('act_relative', None, None, None)","('other', None, None, None)"
Secs 607-608 of BIPA,1,"('act_relative', None, None, None)","('other', None, None, None)"
BIPA 00,1,"('act_relative', None, None, None)","('other', None, None, None)"
Omnibus Transportation Employee Testing Act of 1991,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Clean Water Act, sec. 402(p)(6)",1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean water Act sec 304,1,"('act_relative', None, None, None)","('other', None, None, None)"
Resource Conservation Recovery Act sec 1004(5)(B),1,"('act_relative', None, None, None)","('other', None, None, None)"
Resource Conservation Recovery Act sec 3004(x),1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act Amendments of 1990 sec 301,1,"('act_relative', None, None, None)","('other', None, None, None)"
611,1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 176,1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 216,1,"('act_relative', None, None, None)","('other', None, None, None)"
TSCA sec 4,1,"('act_relative', None, None, None)","('other', None, None, None)"
Homeland Security Act of 2002,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1902 (a) (54)",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1903 (i) (10)",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1927",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Sec 522 of the Medicare, Medicaid, and SCHIP Benefits Improvement and Protection Act of 2000",1,"('act_relative', None, None, None)","('other', None, None, None)"
"""CWA 306""",1,"('act_relative', None, None, None)","('other', None, None, None)"
SSA 1860D-31(h)(8),1,"('act_relative', None, None, None)","('other', None, None, None)"
46318,1,"('usc', 49, '46318', None)","('other', None, None, None)"
Clean Air Act Section 612,1,"('act_relative', None, None, None)","('other', None, None, None)"
TSCA Section 28,1,"('act_relative', None, None, None)","('other', None, None, None)"
"46 USC app 841a, 876",1,"","('usc', 46, '876', None)"
32912,1,"('usc', 49, '32912', None)","('other', None, None, None)"
"(Age Discrimination Act of 1975, as amended)",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Coronavirus Aid, Relief, and Economic Security Act",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Title IV of the Higher Education Act of 1965, as amended.",1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec. 328(a),1,"('public_law', None, None, None)","('other', None, None, None)"
"Bipartisan Budget Act of 2015, sec 831",1,"('act_relative', None, None, None)","('other', None, None, None)"
Social Security Act sec 1886(e),1,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1153(h)(2) of the Social Security Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 112(r)(7),1,"('act_relative', None, None, None)","('other', None, None, None)"
USC 44710,1,"('usc', 49, '44710', None)","('other', None, None, None)"
Clean Air Act Section 202(a),1,"('act_relative', None, None, None)","('other', None, None, None)"
"Clean Air Act title V, parts C and D",1,"('act_relative', None, None, None)","('other', None, None, None)"
sec 303(b)(6) of the Magnuson-Stevens Fishery Conservation and Management Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 210(c)(8)(H) of the DoddFrank Wall Street Reform and Consumer Protection Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Sec 14005 and 14006, Division A, of the American Recovery and Reinvestment Act of 2009",1,"('act_relative', None, None, None)","('other', None, None, None)"
section 20012(b)(5) of MAP-21,1,"('act_relative', None, None, None)","('other', None, None, None)"
"MMA, sec. 629",1,"('act_relative', None, None, None)","('other', None, None, None)"
114-74 sec. 701,1,"('public_law', None, None, None)","('other', None, None, None)"
Section 701(b)(1)(a),1,"('public_law', None, None, None)","('other', None, None, None)"
"BBA, sec 4422(a)(1)",1,"('act_relative', None, None, None)","('other', None, None, None)"
BIPA sec 701,1,"('act_relative', None, None, None)","('other', None, None, None)"
26 274(d),1,"('usc', 26, '274', None)","('other', None, None, None)"
Section 1833(i)(2) of SSA,1,"('act_relative', None, None, None)","('other', None, None, None)"
"The Social Security Act, sec 1905(h)",1,"('act_relative', None, None, None)","('other', None, None, None)"
Stat. 855,1,"('statute_at_large', None, None, None)","('other', None, None, None)"
"Foreign Affairs Reform and Restructuring Act of 1998, PL",1,"('act_relative', None, None, None)","('other', None, None, None)"
Federal Acquisition Streamlining Act of 1994,1,"('act_relative', None, None, None)","('other', None, None, None)"
136i(e),1,"('usc', 7, '136i', None)","('other', None, None, None)"
Sec 112 of the Clean Air Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 602,1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 201,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 109,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 169,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAAA 301(a)(1),1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 205(c)(2) of the Social Security Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 612",1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1815(a) of the Social Security Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1154 of the Social Security Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1159 of the Social Security Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
"BIPA, sec 221",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, section 1813 (b)(2)",1,"('act_relative', None, None, None)","('other', None, None, None)"
47106,1,"('usc', 49, '47106', None)","('other', None, None, None)"
"Clean Air Act, title I parts C and D and sec 111(a)(4)",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec. 1936, Deficit Reduction Act, sec. 6034",1,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1886(e),1,"('act_relative', None, None, None)","('other', None, None, None)"
MCSA 1984,1,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 872,1,"('public_law', None, None, None)","('other', None, None, None)"
CAA section 307(d)(7)(B),1,"('act_relative', None, None, None)","('other', None, None, None)"
Safe Drinking Water Act 1421 to 1425,1,"('act_relative', None, None, None)","('other', None, None, None)"
Secs 601-605 of BIPA,1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 634 of BIPA,1,"('act_relative', None, None, None)","('other', None, None, None)"
1861(s)(2)(B),1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1861(s)(2)(B)",1,"('act_relative', None, None, None)","('other', None, None, None)"
"The Agricultural Act of 1949, sec 105B(g), as amended",1,"('act_relative', None, None, None)","('other', None, None, None)"
CWA section 301(k),1,"('act_relative', None, None, None)","('other', None, None, None)"
Section 112 of the Clean Air Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 611,1,"('act_relative', None, None, None)","('other', None, None, None)"
Toxic Substances Control Act sec 404,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Pollution Prevention Act, etc.",1,"('act_relative', None, None, None)","('other', None, None, None)"
Child Support Performance and Incentive Act of 1998,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA section 111,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 112 (d),1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 165,1,"('act_relative', None, None, None)","('other', None, None, None)"
TSCA sec 6(e),1,"('act_relative', None, None, None)","('other', None, None, None)"
SDWA 1412(b)(8),1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 124 of the Social Security Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
Section 405(d) and (e) of the Clean Water Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1902 (a)(6) of the Social Security Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
"""Small Business Paperwork Relief Act of 2002""",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1152",1,"('act_relative', None, None, None)","('other', None, None, None)"
44725,1,"('usc', 49, '44725', None)","('other', None, None, None)"
46501 to 46502,1,"('usc', 49, '46501', None)","('other', None, None, None)"
Clean Air Act title II,1,"('act_relative', None, None, None)","('other', None, None, None)"
PPA,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, secs. 1902(a)(61), 1903(a)(6), 1903(b)(3) and 1903(g)",1,"('act_relative', None, None, None)","('other', None, None, None)"
40701 to 40706,1,"('usc', 46, '40701', None)","('other', None, None, None)"
1324a,1,"('usc', 8, '1324a', None)","('other', None, None, None)"
"Social Security Act, sec 1818A60(2)",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1936",1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 107(d),1,"('act_relative', None, None, None)","('other', None, None, None)"
4519g,1,"('usc', 12, '4519g', None)","('other', None, None, None)"
Section 504 of the Rehabilitation Act of 1973,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 211(h),1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social security Act, sec 1102",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec1866(j)(2)(C)(i)(II)",1,"('act_relative', None, None, None)","('other', None, None, None)"
Poultry Products Inspection Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Clean Air Act, sec 126",1,"('act_relative', None, None, None)","('other', None, None, None)"
694b,1,"('usc', 15, '694b', None)","('other', None, None, None)"
Consolidated Appropriations Act of 2014,1,"('act_relative', None, None, None)","('other', None, None, None)"
Occupational Safety and Health Act of 1970,1,"('act_relative', None, None, None)","('other', None, None, None)"
"111-216, sec. 206",1,"('public_law', None, None, None)","('other', None, None, None)"
30104,1,"('usc', 52, '30104', None)","('other', None, None, None)"
30107(a)(8),1,"('usc', 52, '30107', None)","('other', None, None, None)"
Clean Air Act sec. 111(b)(1)(B),1,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 161,1,"('public_law', None, None, None)","('other', None, None, None)"
"Sec 1902(a)(30), Social Security Act",1,"('act_relative', None, None, None)","('other', None, None, None)"
Childrens's Health Act of 2000,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1932",1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA as amended title I,1,"('act_relative', None, None, None)","('other', None, None, None)"
"The Social Security Act, sec 1905(a)(16)",1,"('act_relative', None, None, None)","('other', None, None, None)"
Budget and Accounting Procedures Act of 1950 as amended,1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act section 169A,1,"('act_relative', None, None, None)","('other', None, None, None)"
136j,1,"('usc', 7, '136j', None)","('other', None, None, None)"
Clean Air Act sections 160-169,1,"('act_relative', None, None, None)","('other', None, None, None)"
Superfund (CERCLA) sec 117,1,"('act_relative', None, None, None)","('other', None, None, None)"
Resource Conservation Recovery Act sec 4005,1,"('act_relative', None, None, None)","('other', None, None, None)"
Resource Conservation Recovery Act sec 3002(a)(5),1,"('act_relative', None, None, None)","('other', None, None, None)"
Resource Conservation Recovery Act sec 3003(a)(3),1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Water Act sec 306 to 308,1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 183,1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act secs 160 to 169,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAAA sec 112(e)(5),1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 202(a),1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1902(a)(4)",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Section 405(d)""and (e) of the Clean Water Act""",1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1902(a)(6) of the Social Security Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
Section 303(e)(2) of the MMA,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, section 1818 A(d)(2)",1,"('act_relative', None, None, None)","('other', None, None, None)"
SSA 1860D-31(h)(7)(B),1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 811 of MMA,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Energy Policy Act of 2005, Sec 353",1,"('act_relative', None, None, None)","('other', None, None, None)"
47122,1,"('usc', 49, '47122', None)","('other', None, None, None)"
47531 to 47532,1,"('usc', 49, '47531', None)","('other', None, None, None)"
"DRA, Section 511",1,"('act_relative', None, None, None)","('other', None, None, None)"
"FAST ACT, sec. 5403",1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA Section 129,1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 13407 of the American Recovery and Reinvestment Act of 2009,1,"('act_relative', None, None, None)","('other', None, None, None)"
sec 302(s) of the CAA,1,"('act_relative', None, None, None)","('other', None, None, None)"
MCA of 1935,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, Sec 1115A",1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 112(b)(3),1,"('act_relative', None, None, None)","('other', None, None, None)"
USC 5318A,1,"('usc', 31, '5318a', None)","('other', None, None, None)"
Social Security Act 1631(a)(2)(F)(i),1,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 1431,1,"('public_law', None, None, None)","('other', None, None, None)"
Section 70204 of OBBBA,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1905(a)(16)",1,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 202,1,"('public_law', None, None, None)","('other', None, None, None)"
"Sec 4701 to 4710, Balanced Budget Act of 1997",1,"('act_relative', None, None, None)","('other', None, None, None)"
Section 831-834 American Homeownership and Economic Opportunity Act of 2000,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Clean Air Act Amendments of 1990, section 183(e) and 112",1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act 160-169,1,"('act_relative', None, None, None)","('other', None, None, None)"
Safe Drinking Water Act sec 1421 to 1425,1,"('act_relative', None, None, None)","('other', None, None, None)"
Resource Conservation Recovery Act sec 3001(b)(3),1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 112(c)(3),1,"('act_relative', None, None, None)","('other', None, None, None)"
302(j) of the Clean Air Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
Toxic Substances Control Act sec 12,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 161,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 211(c),1,"('act_relative', None, None, None)","('other', None, None, None)"
FIFRA sec 3,1,"('act_relative', None, None, None)","('other', None, None, None)"
Sections 1902 (a)(6) of the Social Security Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Medicare, Medicaid and SCHIP Benefits Improvement and Protection Act of 2000",1,"('act_relative', None, None, None)","('other', None, None, None)"
"""CWA 501 (a)""",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Sec 1860D-31, Social Security Act",1,"('act_relative', None, None, None)","('other', None, None, None)"
PL 108 to 199,1,"('public_law', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1153(i)",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec. 1864(e)",1,"('act_relative', None, None, None)","('other', None, None, None)"
CMVSA 1986,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Bipartisan Budget Act of 2015, Sec. 834",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1818(d0(2)",1,"('act_relative', None, None, None)","('other', None, None, None)"
TSCA section 5(a),1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, Sec 1902 (a) (32)",1,"('act_relative', None, None, None)","('other', None, None, None)"
sec 3401(h),1,"('public_law', None, None, None)","('other', None, None, None)"
"Section 455(h) of the Higher Education Act of 1965, as amended",1,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 943,1,"('public_law', None, None, None)","('other', None, None, None)"
sec. 7214 of the Agricultural Act of 2014,1,"('act_relative', None, None, None)","('other', None, None, None)"
Security and Accountability for Every (SAFE) Port Act of 2006,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA Section 112(d)(6),1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec112,1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act 211,1,"('act_relative', None, None, None)","('other', None, None, None)"
"sec 13, Food and Nutrition Act of 2008",1,"('act_relative', None, None, None)","('other', None, None, None)"
title XXI of the Social Security Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
CEA section 4a(a)(7),1,"('act_relative', None, None, None)","('other', None, None, None)"
CEA secs 4r(a),1,"('act_relative', None, None, None)","('other', None, None, None)"
Federal Hazardous Substance Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
Pub. L. 113 to 160,1,"('public_law', None, None, None)","('other', None, None, None)"
Tuna Conventions Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Section 1502 of the Elementary and Secondary Education Act of 1965, (ESEA), as amended by the No Child Left Behind Act of 2001",1,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec 4010,1,"('act_relative', None, None, None)","('other', None, None, None)"
Bipartisan Budget Act of 2015 sec 834,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Omnibus Budget Reconciliation Act of 1990 (OBRA), sec. 4360",1,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 5508 of the Affordable Care Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
"INA sec. 286(m),",1,"('act_relative', None, None, None)","('other', None, None, None)"
Section 70204 of One Big Beautiful Bill Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
Spectrum and Secure Technology and Innovation Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 103(e),1,"('public_law', None, None, None)","('other', None, None, None)"
BIPA' 00,1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 522 of BIPA,1,"('act_relative', None, None, None)","('other', None, None, None)"
BBA 97,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Workforce Investment Act of 1998, sec 189(a)",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Clean Water Act sec 307, 402, 501",1,"('act_relative', None, None, None)","('other', None, None, None)"
CWA sec 312(f)(4)(B),1,"('act_relative', None, None, None)","('other', None, None, None)"
Section 182(a)(2)(B)ii and 301(a)(1) of the Clean Air Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
sec 203(i) of the Clean Air Act Amendments of 1990,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Federal Insecticide, Fungicide, and Rodenticide Act sec 8",1,"('act_relative', None, None, None)","('other', None, None, None)"
Resource Conservation Recovery Act sec 4004,1,"('act_relative', None, None, None)","('other', None, None, None)"
EPCRA,1,"('act_relative', None, None, None)","('other', None, None, None)"
Sections 211(a)(b)(c)(l) of the Clean Air Act as amended,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 247,1,"('act_relative', None, None, None)","('other', None, None, None)"
TSCA sec 12,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1905 (a) (12)",1,"('act_relative', None, None, None)","('other', None, None, None)"
8065a,1,"('usc', 20, '8065a', None)","('other', None, None, None)"
"Social Security Act, section 1839",1,"('act_relative', None, None, None)","('other', None, None, None)"
"MMA, section 629",1,"('act_relative', None, None, None)","('other', None, None, None)"
Section 942(b) of the MMA,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, section 1818(d)(2)",1,"('act_relative', None, None, None)","('other', None, None, None)"
sec 4113 of SAFETEA-LU,1,"('act_relative', None, None, None)","('other', None, None, None)"
32507,1,"('usc', 49, '32507', None)","('other', None, None, None)"
Section 504 of the Rehabilitation Act of 19,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Consolidated Appropriations Act, 2022, Division O, sec. 204",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Clean Air Act, title I, parts C and D and Section 111(a)(4)",1,"('act_relative', None, None, None)","('other', None, None, None)"
sec 110(a) of the Clean Air Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
"sec 6(k), Food and Nutrition Act of 2008",1,"('act_relative', None, None, None)","('other', None, None, None)"
715s,1,"('usc', 16, '715s', None)","('other', None, None, None)"
49 10708,1,"('usc', 49, '10708', None)","('other', None, None, None)"
Section 723(c)(3) of the Dodd-Frank Wall Street Reform and Consumer Protection Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 301D,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Clean Air Act, title II",1,"('act_relative', None, None, None)","('other', None, None, None)"
CEA section 4a(a),1,"('act_relative', None, None, None)","('other', None, None, None)"
Social Security Act secs 1102 and 1871,1,"('act_relative', None, None, None)","('other', None, None, None)"
"sec 515(d)(6) of the Federal Food, Drug, and Cosmetic Act",1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA Sec 111,1,"('act_relative', None, None, None)","('other', None, None, None)"
PHS Act section 2708 (incorporated into ERISA section 715),1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 621,1,"('public_law', None, None, None)","('other', None, None, None)"
sec. 3001(c0(5) of the Public Health Service Act,1,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 601,1,"('public_law', None, None, None)","('other', None, None, None)"
sec. 41009,1,"('public_law', None, None, None)","('other', None, None, None)"
sec 340E PHSA,1,"('act_relative', None, None, None)","('other', None, None, None)"
"Longshore and Harbor Workers' Compensation Act, as amended",1,"('act_relative', None, None, None)","('other', None, None, None)"
"sec 721(a)(21), 723 and 733 of the Dodd-Frank Wall Street Reform and Consumer Protection Act  Commodity Exchange Act (the Act) secs: 1a(50), 5h, and sec 8a(5) of the Act",1,"('act_relative', None, None, None)","('other', None, None, None)"
Superfund (CERCLA) sec 311,1,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 312(n),1,"('act_relative', None, None, None)","('other', None, None, None)"
1834(I)(3)(B),1,"('act_relative', None, None, None)","('other', None, None, None)"
"ERISA sec. 502(a)(2), (a)(5), and 506(b)",1,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1861(e)",1,"('act_relative', None, None, None)","('other', None, None, None)"
Superfund (CERCLA) sec 105,1,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act title I and title V,1,"('act_relative', None, None, None)","('other', None, None, None)"
PL 111 148,1,"('public_law', None, None, None)","('other', None, None, None)"
CAAA section 110,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 176(c),1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 302(j),1,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 4(f) of the Fair Labor Standards Act of 1939 as amended,1,"('act_relative', None, None, None)","('other', None, None, None)"
5401-5405,1,"('public_law', None, None, None)","('other', None, None, None)"
sec. 3207 of the Agricultural Act of 2014,1,"('act_relative', None, None, None)","('other', None, None, None)"
Pub. L. 112 to 81,1,"('public_law', None, None, None)","('other', None, None, None)"
USC 40119,1,"('usc', 49, '40119', None)","('other', None, None, None)"
sec 126,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 167,1,"('act_relative', None, None, None)","('other', None, None, None)"
Energy Policy Conservation Act (EPCA),1,"('act_relative', None, None, None)","('other', None, None, None)"
Safe Drinking Water Act sec 1421,1,"('act_relative', None, None, None)","('other', None, None, None)"
Pub. L. 114 to 92,1,"('public_law', None, None, None)","('other', None, None, None)"
CWA 402(p)(4),1,"('act_relative', None, None, None)","('other', None, None, None)"
"Workforce Investment Act of 1998, section 506c",1,"('act_relative', None, None, None)","('other', None, None, None)"
Military Commercial Driver's License Act of 2012,1,"('act_relative', None, None, None)","('other', None, None, None)"
PHS Act section 2713 (incorporated into ERISA section 715),1,"('act_relative', None, None, None)","('other', None, None, None)"
Trade Facilitation and Trade Enforcement Act of 2015,1,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 160-169,1,"('act_relative', None, None, None)","('other', None, None, None)"
