authority_text,nrows,removed,added
Social Security Act,21,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 112(d)(6),21,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 112(r),21,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Water Act sec 501,21,"('act_relative', None, None, None)","('other', None, None, None)"
sec 8a(5) of the Commodity Exchange Act,20,"('act_relative', None, None, None)","('other', None, None, None)"
secs. 7(a)(31) and 7(a)(34) of the Small Business Act,20,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 321 and 325 of the Energy Independence and Security Act of 2007 (EISA),20,"('act_relative', None, None, None)","('other', None, None, None)"
National School Lunch Act (NSLA),20,"('act_relative', None, None, None)","('other', None, None, None)"
secs. 4004 and 5003,20,"('public_law', None, None, None)","('other', None, None, None)"
SDWA 1412,20,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec 105,20,"('act_relative', None, None, None)","('other', None, None, None)"
"Food, Conservation, and Energy Act of 2008",20,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987), 5006-5024 (Repealed October 12, 1984, as to offenses committed)",20,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
MMA,20,"('act_relative', None, None, None)","('other', None, None, None)"
31136(a),19,"('usc', 49, '31136', None)","('other', None, None, None)"
"Clean Air Act Amendments of 1990, section 112",19,"('act_relative', None, None, None)","('other', None, None, None)"
BIPA,19,"('act_relative', None, None, None)","('other', None, None, None)"
sec 5b of the Commodity Exchange Act,19,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec 404,18,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Water Act sec 301,18,"('act_relative', None, None, None)","('other', None, None, None)"
21st Century Cures Act,18,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 751, 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",18,"('usc', 18, '1987', None)",""
"2244, 2252, 2277a-7",18,"('usc', 12, '2244', None) | ('usc', 12, '2252', None) | ('usc', 12, '2277a-7', None)","('other', None, None, None)"
"secs. 1, 4(i), 4(j), 4(n), 201, 214, 218, 251(e)(3), 301, 303(b), 303(g), 303(j), 303(r), 307, 309, 316, 332, and 403 of the Communications Act of 1934, as amended",18,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 1819(b)(1)(A) and 1919 (b)(1)(A) of the Social Security Act,18,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1102 of the Social Security Act,18,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 112(d)(6),18,"('act_relative', None, None, None)","('other', None, None, None)"
"Clean Air Act, sec 112 as amended November 1990",18,"('act_relative', None, None, None)","('other', None, None, None)"
"CEA secs 4(a), 4(c), and 8(a)(5)",18,"('act_relative', None, None, None)","('other', None, None, None)"
"CWA 101, 304, 308, 401, 402, 510",18,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1138 of the Social Security Act,18,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act Amendments of 1990,17,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Water Act sec 304,17,"('act_relative', None, None, None)","('other', None, None, None)"
Cranston-Gonzalez National Affordable Housing Act,17,"('act_relative', None, None, None)","('other', None, None, None)"
Ethics Reform Act of 1989,17,"('act_relative', None, None, None)","('other', None, None, None)"
"INA 104(a), 212(n), 214(c), 218",16,"('act_relative', None, None, None)","('other', None, None, None)"
89-670 and 91-605,16,"('public_law', None, None, None)","('other', None, None, None)"
"18 U.S.C. 3621, 3622, 3624, 4001, 4042, 4081 and 4082 (repealed in part as to offenses committed on or after November 1, 1987)",16,"('usc', 18, '1987', None)",""
Fish and Wildlife Act of 1956,16,"('act_relative', None, None, None)","('other', None, None, None)"
secs 1819(g)(1)(D) and 1919(g)(1)(D) of the Social Security Act,16,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 501(a),16,"('act_relative', None, None, None)","('other', None, None, None)"
"CAA section 202,203,247, 301(a)",16,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 5006 to 5024 (Repealed October 12, 1984 as to offenses committed after that date)",16,"('usc', 18, '1984', None)",""
