authority_text,nrows,transform,variant,base,after,kind
Pub. L. 115-173 (see 50 U.S.C.A. 3161 note),24,usc-label:U. S. C.,Pub. L. 115-173 (see 50 U. S. C..A. 3161 note),"(('public_law', None, None, None, None, None, None, '115-173', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('usc', 50, '3161', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, True))","(('public_law', None, None, None, None, None, None, '115-173', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"MNOPF Trustees, Ltd v United States, 123 F 3d 1460 (Fed Cir 1997)",20,whitespace:double,"MNOPF  Trustees,  Ltd  v  United  States,  123  F  3d  1460  (Fed  Cir  1997)","(('case_citation', None, None, None, None, None, None, None, None, None, None, None, None, 'F 3d', 123, 1460, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"D.C. Official Code, sec 24-461, sec 24-465, sec 24-467, and sec 24-468",20,sec-marker:Section,"D.C. Official Code, Section 24-461, Section 24-465, Section 24-467, and Section 24-468","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-461', None, None, None, None, None, None, False, False), ('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-465', None, None, None, None, None, None, False, False), ('dc_code', None, None, N","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"D.C. Official Code, sec 24-461, sec 24-465, sec 24-467, and sec 24-468",20,sec-marker:Sec.,"D.C. Official Code, Sec. 24-461, Sec. 24-465, Sec. 24-467, and Sec. 24-468","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-461', None, None, None, None, None, None, False, False), ('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-465', None, None, None, None, None, None, False, False), ('dc_code', None, None, N","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"State of Michigan v United States, 141 F 3d 662 (6th Cir 1998)",19,whitespace:double,"State  of  Michigan  v  United  States,  141  F  3d  662  (6th  Cir  1998)","(('case_citation', None, None, None, None, None, None, None, None, None, None, None, None, 'F 3d', 141, 662, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"sec. 141 of the Compacts of Free Association With the Federated States of Micronesia and the Republic of the Marshall Islands, and With the Government of Palau",15,sec-marker:§,"§ 141 of the Compacts of Free Association With the Federated States of Micronesia and the Republic of the Marshall Islands, and With the Government of Palau","(('treaty', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"sec. 141 of the Compacts of Free Association With the Federated States of Micronesia and the Republic of the Marshall Islands, and With the Government of Palau",15,sec-marker:Section,"Section 141 of the Compacts of Free Association With the Federated States of Micronesia and the Republic of the Marshall Islands, and With the Government of Palau","(('treaty', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"D.C. Official Code sec 24-101, sec 24-461 sec 24-465, sec 24-467, and sec 24-468",15,sec-marker:Sec.,"D.C. Official Code Sec. 24-101, Sec. 24-461 Sec. 24-465, Sec. 24-467, and Sec. 24-468","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-101', None, None, None, None, None, None, False, False), ('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-461', None, None, None, None, None, None, False, False), ('dc_code', None, None, N","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"D.C. Official Code sec 24-101, sec 24-461 sec 24-465, sec 24-467, and sec 24-468",15,sec-marker:Section,"D.C. Official Code Section 24-101, Section 24-461 Section 24-465, Section 24-467, and Section 24-468","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-101', None, None, None, None, None, None, False, False), ('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-461', None, None, None, None, None, None, False, False), ('dc_code', None, None, N","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"Overseas Thread Industries, Ltd v United States, 48 Cl Ct 221 (2000)",13,whitespace:double,"Overseas  Thread  Industries,  Ltd  v  United  States,  48  Cl  Ct  221  (2000)","(('case_citation', None, None, None, None, None, None, None, None, None, None, None, None, 'Cl Ct', 48, 221, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
D.C. Official Code sec. 22-4151 (2001 ed.),12,sec-marker:Sec.,D.C. Official Code Sec. 22-4151 (2001 ed.),"(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '22-4151', None, None, None, None, None, None, False, False),)","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
D.C. Official Code sec. 22-4151 (2001 ed.),12,sec-marker:Section,D.C. Official Code Section 22-4151 (2001 ed.),"(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '22-4151', None, None, None, None, None, None, False, False),)","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"Executive Order 12333, United States Intelligence Activities, 46 Fed. Reg. 59941 (December 4, 1981), reprinted as amended in 73 Fed. Reg. 45325 (July 30, 2008)",9,whitespace:double,"Executive  Order  12333,  United  States  Intelligence  Activities,  46  Fed.  Reg.  59941  (December  4,  1981),  reprinted  as  amended  in  73  Fed.  Reg.  45325  (July  30,  2008)","(('executive_order', None, None, None, None, None, None, None, '12333', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('federal_register', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 46, 59941, None, None, None, None, None, None, None, None, None, False, False), ('federal_regi","(('executive_order', None, None, None, None, None, None, None, '12333', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
DC Code sec 24-403.01(d-1)(1),7,sec-marker:Section,DC Code Section 24-403.01(d-1)(1),"(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-403.01', None, None, None, None, None, None, False, False),)","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
DC Code sec 24-403.01(d-1)(1),7,sec-marker:Sec.,DC Code Sec. 24-403.01(d-1)(1),"(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-403.01', None, None, None, None, None, None, False, False),)","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"US Cost, Art II, sec 2",7,sec-marker:§,"US Cost, Art II, § 2","('ok',)","('partial',)",status
"Executive Order 13556, Controlled Unclassified Information, 75 Fed. Reg. 68675 (November 9, 2010)",6,whitespace:double,"Executive  Order  13556,  Controlled  Unclassified  Information,  75  Fed.  Reg.  68675  (November  9,  2010)","(('executive_order', None, None, None, None, None, None, None, '13556', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('federal_register', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 75, 68675, None, None, None, None, None, None, None, None, None, False, False))","(('executive_order', None, None, None, None, None, None, None, '13556', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
16 U.S.C. 1531 et. seq.,6,et-seq,16 U.S.C. 1531 et seq.,"('partial',)","('ok',)",status
