rin,majority_sig,minority_sig,reason,majority_n,minority_n,n_editions,shape,contiguous
0694-AF73,usc:30:185,usc:30:185u,usc.field1.trailing-char,4,1,5,minority-prefix,true
0694-AH66,usc:15:1824,usc:15:1824a,usc.field1.trailing-char,12,2,14,minority-prefix,true
0694-AH88,usc:15:1824,usc:15:1824a,usc.field1.trailing-char,4,1,5,minority-prefix,true
0701-AA72,usc:10:8012,usc:10:8013,usc.field1.edit1,2,1,3,minority-suffix,true
0703-AB01,usc:42:432-4361,usc:42:4321-4361,usc.field1.edit1,3,1,4,minority-prefix,true
0710-AA74,usc:33:403,usc:33:401,usc.field1.edit1,3,1,4,minority-suffix,true
0720-AB73,usc:5:301,usc:5:801,usc.field1.edit1,10,1,11,minority-prefix,true
0750-AJ43,usc:15:657q,usc:14:657q,usc.field0.edit1,2,1,3,minority-prefix,true
0790-AI82,usc:10:1781c,usc:10:1781,usc.field1.trailing-char,8,6,14,minority-suffix,true
0790-AJ01,usc:50:1902,usc:50:1903,usc.field1.edit1,7,1,9,minority-suffix,true
0790-AJ04,usc:42:2000d,usc:42:2000,usc.field1.trailing-char,5,1,23,minority-suffix,true
0790-AJ04,usc:5:552a,usc:5:552,usc.field1.trailing-char,7,1,23,minority-suffix,true
0790-AJ11,usc:15:3710,usc:15:3701,usc.field1.transpose,3,2,5,minority-prefix,true
0790-AJ40,pl:111-84,pl:11-84,pl.field0.leading-digit,2,1,11,minority-suffix,true
0790-AJ40,pl:113-66,pl:113-662,pl.field0.trailing-char,9,1,11,reverted-blip,true
0790-AK11,usc:10:113,usc:10:133,usc.field1.edit1,7,3,10,minority-prefix,true
0906-AA44,usc:42:254b,usc:42:254c,usc.field1.edit1,39,1,40,minority-prefix,true
0910-AA39,usc:21:360d,usc:21:360i,usc.field1.edit1,12,1,13,minority-suffix,true
0910-AA49,usc:21:357,usc:21:353,usc.field1.edit1,7,1,40,minority-suffix,true
0910-AA57,usc:42:262-263,usc:42:262-264,usc.field1.edit1,3,2,5,minority-suffix,true
0910-AA61,usc:21:351-353,usc:21:351-352,usc.field1.edit1,9,5,22,minority-prefix,true
0910-AA61,usc:21:371,usc:21:374,usc.field1.edit1,17,5,22,minority-prefix,true
0910-AA62,usc:21:331,usc:21:321,usc.field1.edit1,3,2,5,minority-suffix,true
0910-AA97,usc:21:360b-360j,usc:21:360b-360f,usc.field1.edit1,22,3,39,minority-suffix,true
0910-AA97,usc:21:360b-360j,usc:21:360i-360j,usc.field1.edit1,22,3,39,minority-suffix,true
0910-AA97,usc:21:375,usc:21:379,usc.field1.edit1,29,3,39,minority-suffix,true
0910-AA97,usc:21:379e,usc:21:379,usc.field1.trailing-char,29,3,39,minority-suffix,true
0910-AB08,usc:21:360,usc:21:360b,usc.field1.trailing-char,3,2,5,minority-suffix,true
0910-AB21,usc:21:360e,usc:21:360j,usc.field1.edit1,7,2,9,minority-suffix,true
0910-AB21,usc:21:360e,usc:21:360i,usc.field1.edit1,7,2,9,minority-suffix,true
0910-AB21,usc:21:360e,usc:21:360b,usc.field1.edit1,7,2,9,minority-suffix,true
0910-AB21,usc:21:360e,usc:21:360c,usc.field1.edit1,7,2,9,minority-suffix,true
0910-AB50,pl:104-25,pl:104-250,pl.field0.trailing-char,6,3,9,minority-suffix,true
0910-AB50,usc:21:360b,usc:21:360,usc.field1.trailing-char,7,2,9,minority-prefix,true
0910-AB70,usc:21:360b,usc:21:360,usc.field1.trailing-char,11,1,12,minority-prefix,true
0910-AB76,usc:21:372,usc:21:352,usc.field1.edit1,7,6,19,minority-prefix,true
0910-AB76,usc:21:381,usc:21:351,usc.field1.edit1,7,6,19,minority-prefix,true
0910-AB95,usc:15:1453,usc:15:145,usc.field1.trailing-char,4,3,7,minority-suffix,true
0910-AB96,usc:21:348,usc:21:342,usc.field1.edit1,7,6,13,minority-prefix,true
0910-AB96,usc:21:348,usc:21:343,usc.field1.edit1,7,6,13,minority-prefix,true
0910-AB96,usc:21:393,usc:21:333,usc.field1.edit1,7,6,13,minority-prefix,true
0910-AB96,usc:21:393,usc:21:343,usc.field1.edit1,7,6,13,minority-prefix,true
0910-AB98,usc:21:360,usc:21:360i,usc.field1.trailing-char,2,1,5,minority-suffix,true
0910-AB98,usc:42:263b,usc:42:263,usc.field1.trailing-char,3,2,5,minority-prefix,true
0910-AC02,usc:21:355,usc:21:355i,usc.field1.trailing-char,4,1,5,reverted-blip,true
0910-AC02,usc:21:360b,usc:21:360,usc.field1.trailing-char,3,1,5,minority-prefix,true
0910-AC02,usc:21:360c,usc:21:360,usc.field1.trailing-char,3,1,5,minority-prefix,true
0910-AC02,usc:21:360e,usc:21:360,usc.field1.trailing-char,3,1,5,minority-prefix,true
0910-AC02,usc:21:360i,usc:21:360,usc.field1.trailing-char,3,1,5,minority-prefix,true
0910-AC02,usc:21:360j,usc:21:360,usc.field1.trailing-char,3,1,5,minority-prefix,true
0910-AC02,usc:21:360k,usc:21:360,usc.field1.trailing-char,3,1,5,minority-prefix,true
0910-AC02,usc:21:361,usc:21:360,usc.field1.edit1,2,1,5,minority-prefix,true
0910-AC04,usc:21:360b,usc:21:360,usc.field1.trailing-char,4,2,6,minority-prefix,true
0910-AC14,usc:42:243,usc:42:343,usc.field1.edit1,17,1,19,minority-prefix,true
0910-AC17,usc:21:355,usc:21:352,usc.field1.edit1,13,1,16,minority-prefix,true
0910-AC17,usc:21:355,usc:21:351,usc.field1.edit1,13,1,16,minority-prefix,true
0910-AC17,usc:21:355,usc:21:353,usc.field1.edit1,13,1,16,minority-prefix,true
0910-AC25,usc:21:353,usc:21:351,usc.field1.edit1,12,9,21,reverted-blip,true
0910-AC30,usc:21:360,usc:21:360i,usc.field1.trailing-char,9,3,19,minority-prefix,true
0910-AC30,usc:21:360e,usc:21:360i,usc.field1.edit1,9,3,19,minority-prefix,true
0910-AC30,usc:21:360j,usc:21:360i,usc.field1.edit1,9,3,19,minority-prefix,true
0910-AC32,usc:21:331,usc:21:361,usc.field1.edit1,10,1,11,minority-suffix,true
