volume,year,last_page,evidence_issue,evidence_source,sitemap_url,sitemap_sha256,mods_url,mods_sha256,fetched_at,mods_volume_stated,mods_digital_origin
11,1946,14736,FR-1946-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1946_sitemap.xml,54fa121f06561160030ed67c81f1f9657823bbc6fed920493b72c8a51e2d93ef,https://www.govinfo.gov/metadata/pkg/FR-1946-12-31/mods.xml,d54c37aa246327454c3886f762ffad56bdb5d7e4727964cd30c49c1d7192fc35,2026-08-23T14:38:11.426248+00:00,11,reformatted digital
12,1947,8902,FR-1947-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1947_sitemap.xml,3e08a4aaa6944f899b90cb23b8e12f84a9acbc473e7ec716f9fc59fa1de88ef8,https://www.govinfo.gov/metadata/pkg/FR-1947-12-31/mods.xml,3d6d8bc620923b02d4880071287903abba075e2ef7cc0a5a280bdc2615a5dbfa,2026-08-23T14:38:12.109611+00:00,12,reformatted digital
13,1948,9608,FR-1948-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1948_sitemap.xml,49f6920c689fe8fc100ab37cde20a1ec35d32a5a26a2a4564663304ef65255c6,https://www.govinfo.gov/metadata/pkg/FR-1948-12-31/mods.xml,d3a33681457aa26d81407de8629e0e038d2183827f6291eeaed7ea514eea8987,2026-08-23T14:38:12.608876+00:00,13,reformatted digital
14,1949,7952,FR-1949-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1949_sitemap.xml,33d8be07fe23ac34ebfdedea0e7d7fe0d1e9ee69b9d7e1452a5b692f12196ee9,https://www.govinfo.gov/metadata/pkg/FR-1949-12-31/mods.xml,a29c042763936ac2e254af419995ef42bddf9ce0204b0b87ba9717a10c98f7a3,2026-08-23T14:38:13.107176+00:00,14,reformatted digital
15,1950,9562,FR-1950-12-30,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1950_sitemap.xml,a9dcc1520a4f94e8823fc15f1357f5af1d738343ca4106341bd1296a0e765c99,https://www.govinfo.gov/metadata/pkg/FR-1950-12-30/mods.xml,3a7a2dc9b69c3b2df894f80052656fe9a1ade91d23299a064419cab2dd6aa10a,2026-08-23T14:38:13.619211+00:00,15,reformatted digital
16,1951,13175,FR-1951-12-29,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1951_sitemap.xml,08ffec5b4bd8338aa1758dae2172d9b71b7c67609b6c61656b51112d0f91c4fe,https://www.govinfo.gov/metadata/pkg/FR-1951-12-29/mods.xml,7a6196e42285de994c571df8205bed9f39eb6b3ea6a49564c2fa75f4d697b56a,2026-08-23T14:38:14.124266+00:00,16,reformatted digital
17,1952,11896,FR-1952-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1952_sitemap.xml,94e9ea2bd8293bba1278db26f28d6d44711a1ba5a1230f35de57a466e18aa4a1,https://www.govinfo.gov/metadata/pkg/FR-1952-12-31/mods.xml,3f7a03c0558d3d06019cd4b1831bb68b1b1f5826bc7998db4a458b09defbcd34,2026-08-23T14:38:14.685324+00:00,17,reformatted digital
18,1953,8912,FR-1953-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1953_sitemap.xml,f816e3c9b478ca87966d09acee0fcd9cf57a1a0d19d4ef769ee5de12ace57bec,https://www.govinfo.gov/metadata/pkg/FR-1953-12-31/mods.xml,313a00e25db772a7793820ee589e00c218e3df70127e3b66603adcf9cc270aaf,2026-08-23T14:38:15.195695+00:00,18,reformatted digital
19,1954,9910,FR-1954-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1954_sitemap.xml,e4a88ad026b436b3465febe1c6493f4f957b289a0b61daccbe6d07d709220b8d,https://www.govinfo.gov/metadata/pkg/FR-1954-12-31/mods.xml,23e19943b686adfdeb5490aa26be6bf600b4531b9f0b6c0489eff39a60c1c3a3,2026-08-23T14:38:15.692275+00:00,19,reformatted digital
20,1955,10196,FR-1955-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1955_sitemap.xml,9d961c8309d0f7a53841bfab15647e5c2d1114d43bebb47099b2f65a6ab43c0c,https://www.govinfo.gov/metadata/pkg/FR-1955-12-31/mods.xml,86121346901c3e6936547d5d311514ae71eb0032c0d1315fc8269f6e2e7f26f1,2026-08-23T14:38:16.243292+00:00,20,reformatted digital
21,1956,10528,FR-1956-12-29,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1956_sitemap.xml,bd2ce3f5e3dc0ca7acbfc3879c08597eecb1a7fc2c0e6f3f4c3ec9d0a86655f5,https://www.govinfo.gov/metadata/pkg/FR-1956-12-29/mods.xml,9d9fe9f9494ebbecbbab34a12f4ff49b853e333f9cc34d0e5eeeb9f5a34a56ec,2026-08-23T14:38:16.755753+00:00,21,reformatted digital
22,1957,11156,FR-1957-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1957_sitemap.xml,29db45c9fea464ec104ba88f180db8e4275f05e418448be74e677b88406fba97,https://www.govinfo.gov/metadata/pkg/FR-1957-12-31/mods.xml,ceaae4c432e86984ae0585075d6b5ee66ab556796ca8e05c7e0f8935724d95ca,2026-08-23T14:38:17.263256+00:00,22,reformatted digital
23,1958,10579,FR-1958-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1958_sitemap.xml,7ac3b59acce33d559238cee762ed8685a4bb6693c8f43a68f883ac87c194e2c6,https://www.govinfo.gov/metadata/pkg/FR-1958-12-31/mods.xml,4e64d1f905c862f5fc607494d7a2779e6c46adf728795735f9d81244bafbcf66,2026-08-23T14:38:17.803829+00:00,23,reformatted digital
24,1959,11116,FR-1959-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1959_sitemap.xml,d8101946d6209fa504e4f04fcc43ea3b1ffeb36fb91650043ed479c3cab717a0,https://www.govinfo.gov/metadata/pkg/FR-1959-12-31/mods.xml,404ae20b5b5bc4e093c5c2764ebc07293fca1d0782668dba83e704e2b64bb0c4,2026-08-23T14:38:18.313709+00:00,24,reformatted digital
25,1960,14479,FR-1960-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1960_sitemap.xml,341b667736dacaf2df2334f0109fea1de7a386c3111c11990e232d8c213ad72a,https://www.govinfo.gov/metadata/pkg/FR-1960-12-31/mods.xml,04999d258b1340ac04735a663d8f1c5378789c91d5777bf26a6b05e1f2f1c802,2026-08-23T14:38:19.064252+00:00,25,reformatted digital
