usc_title,edition_year,usc_section,rin,bucket
10,1996,2301,9000-AF60,4-genuine-era-mismatch
10,1996,2301,9000-AF80,4-genuine-era-mismatch
10,1996,2301,9000-AF83,4-genuine-era-mismatch
10,1996,2301,9000-AF97,4-genuine-era-mismatch
10,1996,2301,9000-AF98,4-genuine-era-mismatch
10,1996,2301,9000-AF99,4-genuine-era-mismatch
10,1996,2301,9000-AG00,4-genuine-era-mismatch
10,1996,2301,9000-AG02,4-genuine-era-mismatch
10,1996,2301,9000-AG06,4-genuine-era-mismatch
10,1996,2301,9000-AG07,4-genuine-era-mismatch
10,1996,2301,9000-AG13,4-genuine-era-mismatch
10,1996,2301,9000-AG14,4-genuine-era-mismatch
10,1996,2301,9000-AG41,4-genuine-era-mismatch
10,1996,2301,9000-AG57,4-genuine-era-mismatch
10,1996,2301,9000-AG61,4-genuine-era-mismatch
10,1996,2301,9000-AG63,4-genuine-era-mismatch
10,1996,2301,9000-AG65,4-genuine-era-mismatch
10,1996,2301,9000-AG66,4-genuine-era-mismatch
10,1996,2301,9000-AG71,4-genuine-era-mismatch
10,1996,2301,9000-AG83,4-genuine-era-mismatch
10,1996,2301,9000-AG92,4-genuine-era-mismatch
10,1996,2301,9000-AG93,4-genuine-era-mismatch
10,1996,2301,9000-AG94,4-genuine-era-mismatch
10,1996,2301,9000-AG96,4-genuine-era-mismatch
10,1996,2301,9000-AG97,4-genuine-era-mismatch
10,1996,2301,9000-AG98,4-genuine-era-mismatch
10,1996,2301,9000-AH09,4-genuine-era-mismatch
18,2002,5006,1120-AA96,4-genuine-era-mismatch
18,2002,5006,1120-AB07,4-genuine-era-mismatch
18,2002,4161,1120-AA03,4-genuine-era-mismatch
18,2002,5006,1120-AA03,4-genuine-era-mismatch
18,2002,5006,1120-AA11,4-genuine-era-mismatch
18,2002,5006,1120-AA15,4-genuine-era-mismatch
18,2002,5006,1120-AA23,4-genuine-era-mismatch
18,2002,5006,1120-AA25,4-genuine-era-mismatch
18,2002,5006,1120-AA33,4-genuine-era-mismatch
18,2002,5006,1120-AA39,4-genuine-era-mismatch
18,2002,5006,1120-AA49,4-genuine-era-mismatch
18,2002,5006,1120-AA59,4-genuine-era-mismatch
18,2002,4161,1120-AA62,4-genuine-era-mismatch
18,2002,5006,1120-AA62,4-genuine-era-mismatch
18,2002,5006,1120-AA72,4-genuine-era-mismatch
18,2002,5006,1120-AA77,4-genuine-era-mismatch
18,2002,5006,1120-AA81,4-genuine-era-mismatch
