rin,publication_id,ordinal,citation_ordinal,authority_text,authority_type,parse_status,admin_order_kind,admin_order_number
3090-AI65,200810,3,0,OMB Circ A-126,other,failed,,
3090-AI84,200904,3,0,"OMB circular A-126, rev. April 28, 2006",other,failed,,
3090-AJ02,201010,8,0,"3 CFR, 1971 to 1975 comp, p 586, OMB Circular No. A126, revised May 22, 1992",administrative_order,partial,OMB Circular,A-126
3090-AJ02,201010,8,1,"3 CFR, 1971 to 1975 comp, p 586, OMB Circular No. A126, revised May 22, 1992",eo_compilation,partial,,
3090-AJ02,201010,10,0,"OMB Circular No. A-123, app B, rev Jan 15, 2009",administrative_order,partial,OMB Circular,A-123
3090-AJ06,201010,8,0,"3 CFR, 19711975 comp, p 586, OMB Circular No A126, revised May 22, 1992",administrative_order,partial,OMB Circular,A-126
3090-AJ06,201010,8,1,"3 CFR, 19711975 comp, p 586, OMB Circular No A126, revised May 22, 1992",eo_compilation,partial,,
3090-AJ06,201104,8,0,"3 CFR, 19711975 comp, p 586, OMB Circular No A126, revised May 22, 1992",administrative_order,partial,OMB Circular,A-126
3090-AJ06,201104,8,1,"3 CFR, 19711975 comp, p 586, OMB Circular No A126, revised May 22, 1992",eo_compilation,partial,,
3090-AJ06,201110,9,0,"3 CFR 1971 to1975 Comp, p 586, OMB Circular no A126, revised May 22, 1992",eo_compilation,partial,,
3090-AJ07,201010,3,0,"OMB Circular No. A-126, revised May 22, 1992",administrative_order,partial,OMB Circular,A-126
3090-AJ07,201010,6,0,"OMB Circular No A-123, app B, revised January 15, 2009",administrative_order,partial,OMB Circular,A-123
3090-AJ08,201010,3,0,"OMB Circular No A-126, revised May 22, 1992",administrative_order,partial,OMB Circular,A-126
3090-AJ08,201104,3,0,"OMB Circular No A-126, revised May 22, 1992",administrative_order,partial,OMB Circular,A-126
3090-AJ09,201104,9,0,"OMB Circular No A-126, revised May 22, 1992",administrative_order,partial,OMB Circular,A-126
3090-AJ11,201104,10,0,"OMB Circular No A-126, revised May 22, 1992",administrative_order,partial,OMB Circular,A-126
3090-AJ11,201104,11,0,"OMB Circular No A-123, app B, revised January 15, 2009",administrative_order,partial,OMB Circular,A-123
3090-AJ11,201110,10,0,"OMB Circular no A-126, revised May 22, 1992",other,failed,,
3090-AJ11,201110,11,0,"OMB Circular no A-123, app B, revised January 15, 2009",other,failed,,
3090-AJ11,201210,10,0,"OMB Circular no A-126, revised May 22, 1992",other,failed,,
3090-AJ11,201210,11,0,"OMB Circular no A-123, app B, revised January 15, 2009",other,failed,,
3090-AJ33,201410,4,0,OMB Cir No. A-126,other,failed,,
3090-AJ33,201504,4,0,OMB Cir No. A-126,other,failed,,
3090-AJ44,201404,8,0,"3 CFR 1971 to 1975 Comp, p 586, OMB Circular no A-126, revised May 22, 1992",eo_compilation,partial,,
3090-AJ44,201410,8,0,"3 CFR 1971 to 1975 Comp, p 586, OMB Circular no A-126, revised May 22, 1992",eo_compilation,partial,,
3090-AJ44,201504,8,0,"3 CFR 1971 to 1975 Comp, p 586, OMB Circular no A-126, revised May 22, 1992",eo_compilation,partial,,
3090-AJ48,201410,3,0,OMB Circular No. A-126,administrative_order,ok,OMB Circular,A-126
3090-AJ48,201504,10,0,"OMB Circular No. A-826, revised Mat 22, 1992",administrative_order,partial,OMB Circular,A-826
3090-AJ48,201510,10,0,"OMB Circular No. A-826, revised May 22, 1992",administrative_order,partial,OMB Circular,A-826
3090-AJ56,201610,4,0,"OMB Circular No. A-126, revised May 22, 1992, and OMB Circular No. A-123",administrative_order,partial,OMB Circular,A-126
3090-AJ56,201610,4,1,"OMB Circular No. A-126, revised May 22, 1992, and OMB Circular No. A-123",administrative_order,partial,OMB Circular,A-123
3090-AJ68,201604,4,0,"OMB Circular No. A–126, revised May 22, 1992",administrative_order,partial,OMB Circular,A-126
3090-AJ68,201604,5,0,OMB Circular No. A–123,administrative_order,ok,OMB Circular,A-123
3090-AJ68,201610,4,0,"OMB Circular No. A–126, revised May 22, 1992",administrative_order,partial,OMB Circular,A-126
3090-AJ68,201610,5,0,OMB Circular No. A–123,administrative_order,ok,OMB Circular,A-123
3090-AK40,202110,9,0,"OMB Circular No. A-123, app. B, revised January 15, 2009",administrative_order,partial,OMB Circular,A-123
3090-AK40,202204,9,0,"OMB Circular No. A-123, app. B, revised January 15, 2009",administrative_order,partial,OMB Circular,A-123
3090-AK40,202210,9,0,"OMB Circular No. A-123, app. B, revised January 15, 2009",administrative_order,partial,OMB Circular,A-123
3090-AK61,202204,6,0,"OMB Circular A-123, Appendix B, revised August 27, 2019",administrative_order,partial,OMB Circular,A-123
3090-AK61,202210,5,0,"OMB Circular A-123, app. B, revised August 27, 2019",administrative_order,partial,OMB Circular,A-123
3090-AK61,202304,5,0,"OMB Circular A-123, app. B, revised August 27, 2019",administrative_order,partial,OMB Circular,A-123
3090-AK66,202310,9,0,"OMB Circular No. A-123, Appendix B, revised August 27, 2019.",administrative_order,partial,OMB Circular,A-123
3090-AK66,202404,9,0,"OMB Circular No. A-123, Appendix B, revised August 27, 2019.",administrative_order,partial,OMB Circular,A-123
3090-AK66,202410,9,0,"OMB Circular No. A-123, Appendix B, revised August 27, 2019.",administrative_order,partial,OMB Circular,A-123
3316-AA23,201710,3,0,OMB Circular No. A-25,administrative_order,ok,OMB Circular,A-25
3316-AA23,201804,3,0,OMB Circular No. A-25,administrative_order,ok,OMB Circular,A-25
3316-AA23,201810,3,0,OMB Circular No. A-25,administrative_order,ok,OMB Circular,A-25
3316-AA23,201904,3,0,OMB Circular No. A-25,administrative_order,ok,OMB Circular,A-25
