cfr_part	rule	family	citation_old_to_new	note_text_verbatim
5:2634	compilation-locator	usc	28:1989 -> (removed)	5 U.S.C. ch. 131; 26 U.S.C. 1043; Pub. L. 101-410, 104 Stat. 890, 28 U.S.C. 2461 note, as amended by sec. 31001, Pub. L. 104-134, 110 Stat. 1321 and sec. 701, Pub. L. 114-74; Pub. L. 112-105, 126 Stat. 291; E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306.
5:2634	compilation-locator	usc	28:1990 -> (removed)	5 U.S.C. ch. 131; 26 U.S.C. 1043; Pub. L. 101-410, 104 Stat. 890, 28 U.S.C. 2461 note, as amended by sec. 31001, Pub. L. 104-134, 110 Stat. 1321 and sec. 701, Pub. L. 114-74; Pub. L. 112-105, 126 Stat. 291; E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306.
5:2635	compilation-locator	usc	5:1989 -> (removed)	5 U.S.C. 7301, 7351, 7353; 5 U.S.C. ch. 131; E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306.
5:2635	compilation-locator	usc	5:1990 -> (removed)	5 U.S.C. 7301, 7351, 7353; 5 U.S.C. ch. 131; E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306.
5:2636	compilation-locator	usc	28:1989 -> (removed)	5 U.S.C. ch. 131; Pub. L. 101-410, 104 Stat. 890, 28 U.S.C. 2461 note, as amended by sec. 31001, Pub. L. 104-134, 110 Stat. 1321 and sec. 701, Pub. L. 114-74; E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306.
5:2636	compilation-locator	usc	28:1990 -> (removed)	5 U.S.C. ch. 131; Pub. L. 101-410, 104 Stat. 890, 28 U.S.C. 2461 note, as amended by sec. 31001, Pub. L. 104-134, 110 Stat. 1321 and sec. 701, Pub. L. 114-74; E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306.
5:2638	compilation-locator	usc	5:1989 -> (removed)	5 U.S.C. App. 101-505; E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306.
5:2638	compilation-locator	usc	5:1990 -> (removed)	5 U.S.C. App. 101-505; E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306.
5:2640	compilation-locator	usc	18:1989 -> (removed)	5 U.S.C. App. (Ethics in Government Act of 1978); 18 U.S.C. 208; E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306.
5:2640	compilation-locator	usc	18:1990 -> (removed)	5 U.S.C. App. (Ethics in Government Act of 1978); 18 U.S.C. 208; E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306.
