rin	publication_id	edition_year	usc_title	usc_section	usc_appendix	authority_text	whole_citation
1506-AB07	201004	2010	12	1951	False	12 USC 1951 to 1959	12 USC 1951 to 1959
1506-AB07	201010	2010	12	1829b	False	12 USC 1829b	12 USC 1829b
1506-AB07	201010	2010	12	1951	False	12 USC 1951 to 1959	12 USC 1951 to 1959
1506-AB08	201004	2010	12	1829b	False	12 USC 1829b	12 USC 1829b
1506-AB08	201004	2010	12	1951	False	12 USC 1951 to 1959	12 USC 1951 to 1959
1506-AB08	201010	2010	12	1829b	False	12 USC 1829b	12 USC 1829b
1506-AB08	201010	2010	12	1951	False	12 USC 1951 to 1959	12 USC 1951 to 1959
1506-AB10	201010	2010	12	1829b	False	12 USC 1829b	12 USC 1829b
1506-AB10	201010	2010	12	1951	False	12 USC 1951 to 1959	12 USC 1951 to 1959
1510-AB13	201004	2010	12	1767	False	12 USC 1767	12 USC 1767
1510-AB13	201004	2010	12	1789	False	12 USC 1789(a)	12 USC 1789(a)
1510-AB13	201004	2010	12	265	False	12 USC 265 and 266	12 USC 265 and 266
1510-AB13	201004	2010	12	266	False	12 USC 265 and 266	12 USC 265 and 266
1510-AB13	201004	2010	12	90	False	12 USC 90	12 USC 90
1510-AB24	201004	2010	12	391	False	12 USC 391	12 USC 391
1510-AB24	201010	2010	12	391	False	12 USC 391	12 USC 391
1510-AB25	201004	2010	12	391	False	12 USC 391	12 USC 391
1510-AB25	201010	2010	12	391	False	12 USC 391	12 USC 391
1510-AB26	201004	2010	12	1767	False	12 USC 1767 and 1789a	12 USC 1767 and 1789a
1510-AB26	201004	2010	12	1789a	False	12 USC 1767 and 1789a	12 USC 1767 and 1789a
1510-AB26	201004	2010	12	265	False	12 USC 265 and 266	12 USC 265 and 266
1510-AB26	201004	2010	12	266	False	12 USC 265 and 266	12 USC 265 and 266
1510-AB26	201004	2010	12	90	False	12 USC 90	12 USC 90
1510-AB26	201010	2010	12	1767	False	12 USC 1767 and 1789a	12 USC 1767 and 1789a
1510-AB26	201010	2010	12	1789a	False	12 USC 1767 and 1789a	12 USC 1767 and 1789a
1510-AB26	201010	2010	12	265	False	12 USC 265 and 266	12 USC 265 and 266
1510-AB26	201010	2010	12	266	False	12 USC 265 and 266	12 USC 265 and 266
1510-AB26	201010	2010	12	90	False	12 USC 90	12 USC 90
1510-AB28	201004	2010	12	391	False	12 USC 391	12 USC 391
1510-AB28	201010	2010	12	391	False	12 USC 391	12 USC 391
1550-AB92	201004	2010	12	1462	False	12 USC 1462 to 1462a	12 USC 1462 to 1462a
1550-AB92	201004	2010	12	1463	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AB92	201004	2010	12	1464	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AB92	201004	2010	12	1467a	False	12 USC 1467a	12 USC 1467a
1550-AB92	201004	2010	12	1468	False	12 USC 1468	12 USC 1468
1550-AB92	201004	2010	12	1820	False	12 USC 1820	12 USC 1820
1550-AB92	201004	2010	12	1828	False	12 USC 1828	12 USC 1828
1550-AB92	201004	2010	12	1831o	False	12 USC 1831o	12 USC 1831o
1550-AB92	201004	2010	12	375b	False	12 USC 375b	12 USC 375b
1550-AB92	201004	2010	12	3806	False	12 USC 3806	12 USC 3806
1550-AB92	201010	2010	12	1462	False	12 USC 1462 to 1462a	12 USC 1462 to 1462a
1550-AB92	201010	2010	12	1463	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AB92	201010	2010	12	1464	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AB92	201010	2010	12	1467a	False	12 USC 1467a	12 USC 1467a
1550-AB92	201010	2010	12	1468	False	12 USC 1468	12 USC 1468
1550-AB92	201010	2010	12	1820	False	12 USC 1820	12 USC 1820
1550-AB92	201010	2010	12	1828	False	12 USC 1828	12 USC 1828
1550-AB92	201010	2010	12	1831o	False	12 USC 1831o	12 USC 1831o
1550-AB92	201010	2010	12	375b	False	12 USC 375b	12 USC 375b
1550-AB92	201010	2010	12	3806	False	12 USC 3806	12 USC 3806
1550-AC02	201004	2010	12	1462	False	12 USC 1462 to 1462a	12 USC 1462 to 1462a
1550-AC02	201004	2010	12	1463	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC02	201004	2010	12	1464	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC02	201004	2010	12	1467a	False	12 USC 1467a	12 USC 1467a
1550-AC02	201004	2010	12	1828	False	12 USC 1828 note	12 USC 1828 note
1550-AC02	201010	2010	12	1462	False	12 USC 1462 to 1462a	12 USC 1462 to 1462a
1550-AC02	201010	2010	12	1463	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC02	201010	2010	12	1464	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC02	201010	2010	12	1467a	False	12 USC 1467a	12 USC 1467a
1550-AC02	201010	2010	12	1828	False	12 USC 1828 note	12 USC 1828 note
1550-AC12	201004	2010	12	1462a	False	12 USC 1462a	12 USC 1462a
1550-AC12	201004	2010	12	1463	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC12	201004	2010	12	1464	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC12	201004	2010	12	1828	False	12 USC 1828	12 USC 1828
1550-AC13	201004	2010	12	1462a	False	12 USC 1462a	12 USC 1462a
1550-AC13	201004	2010	12	1463	False	12 USC 1463	12 USC 1463
1550-AC13	201004	2010	12	1464	False	12 USC 1464	12 USC 1464
1550-AC13	201004	2010	12	1828	False	12 USC 1828(t)	12 USC 1828(t)
1550-AC13	201010	2010	12	1462a	False	12 USC 1462a	12 USC 1462a
1550-AC13	201010	2010	12	1463	False	12 USC 1463	12 USC 1463
1550-AC13	201010	2010	12	1464	False	12 USC 1464	12 USC 1464
1550-AC13	201010	2010	12	1828	False	12 USC 1828(t)	12 USC 1828(t)
1550-AC19	201004	2010	12	1462	False	12 USC 1462 to 1462a	12 USC 1462 to 1462a
1550-AC19	201004	2010	12	1463	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC19	201004	2010	12	1464	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC19	201004	2010	12	1467a	False	12 USC 1467a	12 USC 1467a
1550-AC19	201004	2010	12	1828	False	12 USC 1828 note	12 USC 1828 note
1550-AC19	201010	2010	12	1462	False	12 USC 1462 to 1462a	12 USC 1462 to 1462a
1550-AC19	201010	2010	12	1463	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC19	201010	2010	12	1464	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC19	201010	2010	12	1467a	False	12 USC 1467a	12 USC 1467a
1550-AC19	201010	2010	12	1828	False	12 USC 1828 note	12 USC 1828 note
1550-AC24	201004	2010	12	1462	False	12 USC 1462	12 USC 1462
1550-AC24	201004	2010	12	1462a	False	12 USC 1462a	12 USC 1462a
1550-AC24	201004	2010	12	1463	False	12 USC 1463	12 USC 1463
1550-AC24	201004	2010	12	1464	False	12 USC 1464	12 USC 1464
1550-AC24	201004	2010	12	1467a	False	12 USC 1467a	12 USC 1467a
1550-AC24	201004	2010	12	1828	False	12 USC 1828 (note)	12 USC 1828 (note)
1550-AC24	201010	2010	12	1462	False	12 USC 1462	12 USC 1462
1550-AC24	201010	2010	12	1462a	False	12 USC 1462a	12 USC 1462a
1550-AC24	201010	2010	12	1463	False	12 USC 1463	12 USC 1463
1550-AC24	201010	2010	12	1464	False	12 USC 1464	12 USC 1464
1550-AC24	201010	2010	12	1467a	False	12 USC 1467a	12 USC 1467a
1550-AC24	201010	2010	12	1828	False	12 USC 1828 (note)	12 USC 1828 (note)
1550-AC26	201004	2010	12	1462a	False	12 USC 1462a	12 USC 1462a
1550-AC26	201004	2010	12	1463	False	12 USC 1463	12 USC 1463
1550-AC26	201004	2010	12	1464	False	12 USC 1464	12 USC 1464
1550-AC26	201010	2010	12	1462a	False	12 USC 1462a	12 USC 1462a
1550-AC26	201010	2010	12	1463	False	12 USC 1463	12 USC 1463
1550-AC26	201010	2010	12	1464	False	12 USC 1464	12 USC 1464
1550-AC28	201004	2010	12	1462a	False	12 USC 1462a	12 USC 1462a
1550-AC28	201004	2010	12	1463	False	12 USC 1463	12 USC 1463
1550-AC28	201004	2010	12	1464	False	12 USC 1464	12 USC 1464
1550-AC28	201010	2010	12	1462a	False	12 USC 1462a	12 USC 1462a
1550-AC28	201010	2010	12	1463	False	12 USC 1463	12 USC 1463
1550-AC28	201010	2010	12	1464	False	12 USC 1464	12 USC 1464
1550-AC32	201004	2010	12	1462	False	12 USC 1462	12 USC 1462
1550-AC32	201004	2010	12	1462a	False	12 USC 1462a	12 USC 1462a
1550-AC32	201004	2010	12	1463	False	12 USC 1463	12 USC 1463
1550-AC32	201004	2010	12	1464	False	12 USC 1464	12 USC 1464
1550-AC32	201004	2010	12	1467a	False	12 USC 1467a	12 USC 1467a
1550-AC32	201004	2010	12	1701j-3	False	12 USC 1701j-3	12 USC 1701j-3
1550-AC32	201004	2010	12	1828	False	12 USC 1828	12 USC 1828
1550-AC32	201004	2010	12	3806	False	12 USC 3806	12 USC 3806
1550-AC33	201004	2010	12	1462	False	12 USC 1462 and 1462a	12 USC 1462 and 1462a
1550-AC33	201004	2010	12	1462a	False	12 USC 1462 and 1462a	12 USC 1462 and 1462a
1550-AC33	201004	2010	12	1463	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC33	201004	2010	12	1464	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC33	201004	2010	12	1467a	False	12 USC 1467a	12 USC 1467a
1550-AC33	201004	2010	12	1468	False	12 USC 1468	12 USC 1468
1550-AC33	201004	2010	12	1817	False	12 USC 1817	12 USC 1817
1550-AC33	201004	2010	12	1820	False	12 USC 1820	12 USC 1820
1550-AC33	201004	2010	12	1828	False	12 USC 1828	12 USC 1828
1550-AC33	201004	2010	12	1831o	False	12 USC 1831o	12 USC 1831o
1550-AC33	201004	2010	12	375b	False	12 USC 375b	12 USC 375b
1550-AC33	201004	2010	12	3806	False	12 USC 3806	12 USC 3806
1550-AC33	201010	2010	12	1462	False	12 USC 1462 and 1462a	12 USC 1462 and 1462a
1550-AC33	201010	2010	12	1462a	False	12 USC 1462 and 1462a	12 USC 1462 and 1462a
1550-AC33	201010	2010	12	1463	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC33	201010	2010	12	1464	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC33	201010	2010	12	1467a	False	12 USC 1467a	12 USC 1467a
1550-AC33	201010	2010	12	1468	False	12 USC 1468	12 USC 1468
1550-AC33	201010	2010	12	1817	False	12 USC 1817	12 USC 1817
1550-AC33	201010	2010	12	1820	False	12 USC 1820	12 USC 1820
1550-AC33	201010	2010	12	1828	False	12 USC 1828	12 USC 1828
1550-AC33	201010	2010	12	1831o	False	12 USC 1831o	12 USC 1831o
1550-AC33	201010	2010	12	375b	False	12 USC 375b	12 USC 375b
1550-AC33	201010	2010	12	3806	False	12 USC 3806	12 USC 3806
1550-AC34	201004	2010	12	1462	False	12 USC 1462 and 1462a	12 USC 1462 and 1462a
1550-AC34	201004	2010	12	1462a	False	12 USC 1462 and 1462a	12 USC 1462 and 1462a
1550-AC34	201004	2010	12	1463	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC34	201004	2010	12	1464	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC34	201004	2010	12	1467a	False	12 USC 1467a	12 USC 1467a
1550-AC34	201004	2010	12	1828	False	12 USC 1828 (note)	12 USC 1828 (note)
1550-AC36	201004	2010	12	1462	False	12 USC 1462	12 USC 1462
1550-AC36	201004	2010	12	1462a	False	12 USC 1462a	12 USC 1462a
1550-AC36	201004	2010	12	1463	False	12 USC 1463	12 USC 1463
1550-AC36	201004	2010	12	1464	False	12 USC 1464	12 USC 1464
1550-AC36	201004	2010	12	1467a	False	12 USC 1467a	12 USC 1467a
1550-AC36	201004	2010	12	1828	False	12 USC 1828 (note)	12 USC 1828 (note)
1550-AC37	201004	2010	12	1462a	False	12 USC 1462a	12 USC 1462a
1550-AC37	201004	2010	12	1463	False	12 USC 1463 and 1464	12 USC 1463 and 1464
1550-AC37	201004	2010	12	1464	False	12 USC 1463 and 1464	12 USC 1463 and 1464
