eo_number,signing_date,title,fr_citation,provenance,source_file
12719,1990-07-11,President's Commission on the Federal Appointment Process,"55 FR 29001; July 17, 1990",nara-live,eo-1990.html
12720,1990-07-16,President's Council on Rural America,"55 FR 29337; July 18, 1990",nara-live,eo-1990.html
12721,1990-07-30,Eligibility of overseas employees for noncompetitive appointments,"55 FR 31349; August 1, 1990",nara-live,eo-1990.html
12722,1990-08-02,Blocking Iraqi government property and prohibiting transactions with Iraq,"55 FR 31803; August 3, 1990",nara-live,eo-1990.html
12723,1990-08-02,Blocking Kuwaiti Government Property,"55 FR 31805; August 3, 1990",nara-live,eo-1990.html
12724,1990-08-09,Blocking Iraqi Government property and prohibiting transactions with Iraq,"55 FR 33089; August 13, 1990",nara-live,eo-1990.html
12725,1990-08-09,Blocking Kuwaiti Government property and prohibiting transactions with Kuwait,"55 FR 33091; August 13, 1990",nara-live,eo-1990.html
12726,1990-08-15,Waiver under the Trade Act of 1974 with respect to the German Democratic Republic,"55 FR 33637; August 16, 1990",nara-live,eo-1990.html
12727,1990-08-22,Ordering the Selected Reserve of the Armed Forces to active duty,"55 FR 35027; August 27, 1990",nara-live,eo-1990.html
12728,1990-08-22,"Delegating the President's authority to suspend any provision of law relating to the promotion, retirement, or separation of members of the Armed Forces","55 FR 35029; August 27, 1990",nara-live,eo-1990.html
12729,1990-09-24,Educational Excellence for Hispanic Americans,"55 FR 39389; September 26, 1990",nara-live,eo-1990.html
12730,1990-09-30,Continuation of export control regulations,"55 FR 40373; October 2, 1990",nara-live,eo-1990.html
12731,1990-10-17,Principles of ethical conduct for Government officers and employees,"55 FR 42547; October 19, 1990",nara-live,eo-1990.html
12732,1990-10-31,International Fund for Agricultural Development,"55 FR 46489; November 2, 1990",nara-live,eo-1990.html
12733,1990-11-13,Authorizing the extension of the period of active duty of personnel of the Selected Reserve of the Armed Forces,"55 FR 47837; November 15, 1990",nara-live,eo-1990.html
12734,1990-11-14,National emergency construction authority,"55 FR 48099; November 19, 1990",nara-live,eo-1990.html
12735,1990-11-16,Chemical and biological weapons proliferation,"55 FR 48587; November 20, 1990",nara-live,eo-1990.html
12736,1990-12-12,Adjustments of certain rates of pay and allowances,"55 FR 51385; December 14, 1990",nara-live,eo-1990.html
12737,1990-12-12,President's Commission on Environmental Quality,"55 FR 51681; December 14, 1990",nara-live,eo-1990.html
12738,1990-12-14,Administration of foreign assistance and related functions and arms export controls,"55 FR 52033; December 18, 1990",nara-live,eo-1990.html
12739,1990-12-17,"Half-day closing of Government departments and agencies on Monday, December 24, 1990","55 FR 52165; December 19, 1990",nara-live,eo-1990.html
